번호,name,address,disabled_man,disabled_woman,opentime,latitude,longitude,diaper,error_count,emergency_bell
1058,(주)가재울뉴타운주유소 화장실,서울특별시 서대문구 모래내로 205,없음,없음,00:00~24:00,37.5732673,126.9224318,없음,0,없음
152,(주)매트로백화점 화장실,서울특별시 은평구 불광동 311-13 메트로타워,없음,없음,24시간,37.6196342,126.9214784,없음,0,없음
4250,(주)삼표에너지 목동주유소,목5동 905-30,없음,없음,정시(06:00~18:00),37.5361674,126.8797993,없음,0,여자화장실
4310,(주)서부티엔디,서울특별시 양천구 신정로 167,없음,없음,00:00~24:00,37.5094872,126.8392408,없음,0,없음
4311,(주)지애스이앤알서울주유소,서울특별시 양천구 신정로 236,없음,없음,06:00~24:00,37.510561,126.8476971,없음,0,없음
4062,(주)포탈하이웨이,서울특별시 서초구 방배1동 937-1,없음,없음,상시,37.4848642,126.9961215,없음,0,없음
3218,(허준)박물관주유소 개방화장실,서울특별시 강서구 가양동 26-1,있음,있음,00:00~24:00,37.56749923,126.8503017,없음,0,장애인화장실+여자화장실
4293,10번 화장실(양화교),서울특별시 양천구 목동 143-27,있음,있음,24시간,37.5435916,126.8839198,여자,0,장애인화장실+여자화장실
4141,1-1 모래내 공중화장실,서울특별시 관악구 봉천동 1613-19,있음,있음,24시간,37.4778141,126.955627,남여,0,장애인화장실+남자화장실+여자화장실
4102,1-10 공중화장실,서울특별시 관악구 신림동 808-502,있음,있음,24시간,37.4688237,126.9315899,없음,0,없음
4101,1-11 공중화장실,서울특별시 관악구 신림동 808-499,없음,없음,24시간,37.4679135,126.9307429,없음,0,없음
4100,1-12 공중화장실,서울특별시 관악구 신림동 361-27,없음,없음,24시간,37.4699387,126.931258,없음,0,없음
4099,1-13 공중화장실,서울특별시 관악구 신림동 808-503,있음,있음,24시간,37.4678857,126.931243,없음,0,없음
1717,114빌딩(베스트프랜드㈜),서울특별시 학동로 114 ,없음,없음,10:30~20:00,37.5113788,127.0232601,없음,0,없음
4098,1-17 공중화장실,서울특별시 관악구 신림동 808-495,있음,있음,24시간,37.4704689,126.9324108,남여,0,없음
4140,1-2 신대방역 공중화장실,서울특별시 관악구 신림동 516,있음,있음,24시간,37.4872125,126.9133975,남여,0,없음
4139,1-3 봉림교 공중화장실,서울특별시 관악구 신림동 1433-158,있음,있음,24시간,37.4841303,126.9263711,남여,0,장애인화장실+여자화장실
4138,1-4 공중화장실,서울특별시 관악구 신림동 808-142,있음,있음,24시간,37.4700385,126.9325163,없음,0,없음
4107,1-5 공중화장실,서울특별시 관악구 신림동 808-501,없음,없음,24시간,37.4695223,126.9320767,없음,0,없음
4106,1-6 공중화장실,서울특별시 관악구 신림동 808-473,없음,없음,24시간,37.471504,126.932225,없음,0,없음
4105,1-7 공중화장실,서울특별시 관악구 신림동 808-495,없음,없음,24시간,37.4704689,126.9324108,없음,0,장애인화장실+남자화장실+여자화장실
4104,1-8 공중화장실,서울특별시 관악구 신림동 808-498,없음,없음,24시간,37.4686764,126.9309994,없음,0,없음
4103,1-9 공중화장실,서울특별시 관악구 신림동 808-502,없음,없음,24시간,37.4688237,126.9315899,없음,0,장애인화장실+남자화장실+여자화장실
4284,1번 화장실(오금교 입구),서울특별시 양천구 안양천로 710,있음,있음,24시간,37.5099425,126.8731589,여자,0,없음
695,1호선 가산디지털단지역,서울특별시 금천구 가산동 468-4,없음,있음,24시간,37.48159601,126.8825604,없음,0,없음
693,1호선 금천구청역,서울특별시 금천구 시흥동 113-55,없음,있음,24시간,37.45553552,126.8943636,없음,0,없음
694,1호선 독산역,서울특별시 금천구 가산동 717,없음,있음,24시간,37.46598642,126.8895163,없음,0,없음
810,1호터널,예장동 산5-6,없음,없음,00:00~24:00,37.55208792,126.9880865,없음,0,없음
490,1호화장실(진달래화장실),서울 영등포구 여의공원로 68 ,있음,있음,24시간,37.5260776,126.922483,여자,0,없음
1191,2002노래연습장,서울특별시 광진구 면목로 169,없음,없음,00:00~00:00,37.5684119,127.0825064,없음,0,없음
4097,2-10 예촌어린이공원 공중화장실,서울특별시 관악구 남현동 1083-1,있음,있음,24시간,37.474583,126.9767463,남여,0,장애인화장실
4096,2-11서울대 입구 공중화장실,서울특별시 관악구 신림동 808-124,없음,없음,24시간,37.4654248,126.9480801,없음,0,장애인화장실+남자화장실+여자화장실
4285,2번 화장실(오금인라인장),서울특별시 양천구 안양천로 750,있음,있음,24시간,37.5128493,126.8759409,여자,0,장애인화장실+남자화장실+여자화장실
489,2호화장실(개나리화장실),서울 영등포구 여의공원로 68 ,있음,있음,24시간,37.5260776,126.922483,남여,0,없음
