 연번 , 구분 , 호선 ,name,address, 소재지지번주소 ,disabled_man,disabled_woman, 화장실 상세위치 ,latitude,longitude,emergency_bell, 기저귀교환대설치유무-남자화장실 , 기저귀교환대설치유무-여자화장실 ,diaper
1, 공중화장실 ,1, 서울(1) , 서울특별시 중구 봉래동2가 122 서울역(1호선) , 서울특별시 중구 봉래동2가  ,있음,있음, 지하1층 2번출구 부근 ,37.556878,126.972578,있음,있음,있음,남여
2, 공중화장실 ,1, 시청(1) , 서울특별시 중구 정동 5-5 시청역(1호선) , 서울특별시 중구 정동 5-5 ,있음,있음, 지하1층 5번출구 부근 ,37.565682,126.976849,있음,있음,있음,남여
3, 공중화장실 ,1, 종각 , 서울특별시 종로구 종로1가 54 종각지하철역사 , 서울특별시 종로구 종로1가  ,있음,있음," 지하1층 가게이트 부근 (연결통로 부근, 시청측) ",37.570175,126.983226,있음,있음,있음,남여
4, 공중화장실 ,1, 종각 , 서울특별시 종로구 종로1가 54 종각지하철역사 , 서울특별시 종로구 종로1가  ,있음,있음, 지하1층 다게이트 부근 (종로3가측) ,37.570175,126.983226,있음,있음,있음,남여
5, 공중화장실 ,1, 종로3가(1) , 서울특별시 종로3가 10-5  1호선 종로3가역(1호선) , 서울특별시 종로3가 10-5 ,있음,있음, 지하1층 가게이트 부근 ,37.57042,126.992153,있음,있음,있음,남여
6, 공중화장실 ,1, 종로3가(1) , 서울특별시 종로3가 10-5  1호선 종로3가역(1호선) , 서울특별시 종로3가 10-5 ,있음,있음, 지하1층 라게이트 부근 (역무실앞) ,37.57042,126.992153,있음,있음,있음,남여
7, 공중화장실 ,1, 종로5가 , 서울특별시 종로구 종로5가 82-1 1호선 종로5가역 , 서울특별시 종로구 종로5가  ,있음,있음, 지하1층 지하상가 연결통로앞 ,37.571743,127.011169,있음,있음,있음,남여
8, 공중화장실 ,1, 동대문(1) , 서울특별시 종로구 창신동 492-1 1호선 동대문역(1호선) , 서울특별시 종로구 창신동 4 ,있음,있음, 지하1층 4번출입구 부근 ,37.576087,127.02456,있음,있음,있음,남여
9, 공중화장실 ,1, 동묘앞(1) , 서울특별시 종로구 숭인동 117 동묘앞역(1호선) , 서울특별시 종로구 숭인동 1 ,있음,있음, 1층 역무실 부근 ,37.573281,127.016649,있음,있음,있음,남여
10, 공중화장실 ,1, 동묘앞(1) , 서울특별시 종로구 숭인동 117 동묘앞역(1호선) , 서울특별시 종로구 숭인동 1 ,있음,있음, 지하1층 3번출입구 부근 ,37.573281,127.016649,있음,있음,있음,남여
11, 공중화장실 ,1, 동묘앞(1) , 서울특별시 종로구 숭인동 117 동묘앞역(1호선) , 서울특별시 종로구 숭인동 1 ,있음,있음, 하선승강장 7-3지점 ,37.573281,127.016649,있음,있음,있음,남여
12, 공중화장실 ,1, 동묘앞(1) , 서울특별시 종로구 숭인동 117 동묘앞역(1호선) , 서울특별시 종로구 숭인동 1 ,있음,있음, 상선승강장 4-3지점 ,37.573281,127.016649,있음,있음,있음,남여
13, 공중화장실 ,1, 신설동(1) , 서울특별시 동대문구 신설동 76-5 신설동역(1호선) , 서울특별시 동대문구 신설동  ,있음,있음, 대합실(지하1층) 역무실 앞 ,37.578163,127.034687,있음,있음,있음,남여
14, 공중화장실 ,1, 제기동 , 서울특별시 동대문구 제기동 65 제기동역 , 서울특별시 동대문구 제기동  ,있음,있음, 2번출구우측 ,37.579984,127.045547,있음,있음,있음,남여
15, 공중화장실 ,1, 청량리 , 서울특별시 동대문구 전농동 620-69 청량리역 , 서울특별시 동대문구 전농동  ,있음,있음, 4번출구 아래 ,57.580037,127.044727,있음,있음,있음,남여
16, 공중화장실 ,2, 시청(2) , 서울특별시 중구 서소문동 90-1 시청역(2호선) , 서울특별시 중구 서소문동 9 ,있음,있음," 지하1층 9,10번출구 옆 ",37.563681,126.975598,있음,있음,있음,남여
17, 공중화장실 ,2, 시청(2) , 서울특별시 중구 서소문동 90-1 시청역(2호선) , 서울특별시 중구 서소문동 9 ,있음,있음, 지하2층 환승통로 ,37.563681,126.975598,있음,없음,없음,없음
